Open,High,Low,Close,Volume,PreviousType
1.04946,1.04955,1.04931,1.04932,60,1
1.04946,1.04955,1.0493,1.04931,65,1
1.04946,1.04955,1.0493,1.04931,70,1
1.04946,1.04955,1.0493,1.04935,1,1
1.04933,1.04933,1.04931,1.04934,6,0
1.04933,1.04936,1.04931,1.04935,11,0
1.04933,1.04938,1.04931,1.04936,16,0
1.04933,1.04938,1.04931,1.04938,21,0
1.04933,1.04939,1.04931,1.04938,26,0
1.04933,1.0493999999999999,1.04931,1.04939,31,0
1.04933,1.04946,1.04931,1.04946,36,0
1.04933,1.04956,1.04931,1.04953,41,0
1.04933,1.04956,1.04931,1.04952,46,0
1.04933,1.04956,1.04931,1.04951,51,0
1.04933,1.04956,1.04931,1.04953,56,0
1.04933,1.04956,1.04931,1.04951,61,0
1.04933,1.04956,1.04931,1.04951,66,0
1.04933,1.04956,1.04931,1.04951,71,0
1.04933,1.04956,1.04931,1.04952,1,0
1.04952,1.04953,1.04951,1.04952,6,0
1.04952,1.04955,1.04951,1.04955,11,0
1.04952,1.04956,1.0495,1.04949,16,1
1.04952,1.04956,1.04949,1.04951,21,1
1.04952,1.04956,1.04949,1.04955,26,0
1.04952,1.04956,1.04949,1.04958,31,0
1.04952,1.0496,1.04949,1.04959,36,0
1.04952,1.0496,1.04949,1.04951,41,1
1.04952,1.0496,1.04946,1.04944,46,1
1.04952,1.0496,1.04944,1.04945,51,1
1.04952,1.0496,1.04941,1.04938,56,1
1.04952,1.0496,1.04937,1.04946,61,1
1.04952,1.0496,1.04937,1.04949,66,1
1.04952,1.0496,1.04937,1.0493999999999999,71,1
1.04952,1.0496,1.04937,1.04945,76,1
1.04952,1.0496,1.04937,1.04953,1,0
1.04954,1.0495700000000001,1.04954,1.04953,6,1
1.04954,1.0495700000000001,1.04953,1.04956,11,0
1.04954,1.0495700000000001,1.04951,1.04947,16,1
1.04954,1.0495700000000001,1.04946,1.04955,21,0
1.04954,1.0495700000000001,1.04946,1.04954,26,0
1.04954,1.0495700000000001,1.04946,1.04952,31,1
1.04954,1.0495700000000001,1.04946,1.04951,36,1
1.04954,1.0495700000000001,1.04946,1.04949,41,1
1.04954,1.0495700000000001,1.04946,1.04948,46,1
1.04954,1.0495700000000001,1.04946,1.04955,51,0
1.04954,1.0495700000000001,1.04946,1.04954,56,0
1.04954,1.0495700000000001,1.04946,1.04955,61,0
1.04954,1.0495700000000001,1.04946,1.04955,66,0
1.04954,1.04954,1.04952,1.04953,5,1
1.04954,1.04956,1.04952,1.04954,10,0
1.04954,1.04956,1.04952,1.04956,15,0
1.04954,1.04956,1.04952,1.04955,20,0
1.04954,1.04956,1.04947,1.04946,25,1
1.04954,1.04956,1.04945,1.04947,30,1
1.04954,1.04956,1.04945,1.04945,36,1
1.04954,1.04956,1.04941,1.04943,41,1
1.04954,1.04956,1.04935,1.04939,46,1
1.04954,1.04956,1.04935,1.0493999999999999,51,1
1.04954,1.04956,1.04935,1.04941,56,1
1.04954,1.04956,1.04935,1.04941,61,1
1.04954,1.04956,1.04942,1.04943,3,1
1.04942,1.04943,1.04941,1.04942,8,0
1.04942,1.04943,1.0493999999999999,1.04938,13,1
1.04942,1.04943,1.04938,1.04939,18,1
1.04942,1.04943,1.04937,1.04936,1,1
1.04937,1.04937,1.04931,1.04929,6,1
1.04937,1.04937,1.04925,1.04924,11,1
1.04937,1.04937,1.04924,1.04932,16,1
1.04937,1.04937,1.04924,1.04936,21,1
1.04937,1.04938,1.04924,1.04935,27,1
1.04937,1.04938,1.04924,1.0493,32,1
1.04937,1.04938,1.04924,1.04926,37,1
1.04937,1.04938,1.04924,1.04925,42,1
1.04937,1.04938,1.04917,1.04916,47,1
1.04937,1.04938,1.04911,1.04911,52,1
1.04937,1.04938,1.0491,1.04917,57,1
1.04937,1.04938,1.0491,1.04918,62,1
1.04937,1.04938,1.04917,1.04919,3,1
1.04917,1.04922,1.04917,1.04921,8,0
1.04917,1.04922,1.04917,1.04922,13,0
1.04917,1.04922,1.04917,1.04921,18,0
1.04917,1.04922,1.04917,1.04923,23,0
1.04917,1.04924,1.04917,1.04919,28,0
1.04917,1.04924,1.04917,1.04922,33,0
1.04917,1.04924,1.04915,1.04915,38,1
1.04917,1.04924,1.04915,1.04921,43,0
1.04917,1.04924,1.04915,1.04922,48,0
1.04917,1.04924,1.04915,1.04917,53,0
1.04917,1.04924,1.04915,1.04928,58,0
1.04917,1.04928,1.04915,1.04931,63,0
1.04917,1.04934,1.04915,1.04933,2,0
1.04933,1.04937,1.04933,1.04937,7,0
1.04933,1.04947,1.04933,1.04952,12,0
1.04933,1.04952,1.04933,1.04952,17,0
1.04933,1.0495700000000001,1.04933,1.04953,22,0
1.04933,1.0495700000000001,1.04933,1.0495,27,0
1.04933,1.0495700000000001,1.04933,1.04954,32,0
1.04933,1.0495700000000001,1.04933,1.04955,37,0
1.04933,1.04958,1.04933,1.04963,42,0
1.04933,1.04963,1.04933,1.04963,47,0
1.04933,1.04963,1.04933,1.04959,52,0
1.04933,1.04963,1.04933,1.0495700000000001,57,0
1.04933,1.04963,1.04933,1.04951,62,0
1.04933,1.04963,1.04933,1.04942,70,0
1.04933,1.04963,1.04933,1.04947,75,0
1.04933,1.04945,1.04945,1.04948,4,0
1.04945,1.04952,1.04945,1.04948,9,0
1.04945,1.04952,1.04943,1.04947,14,0
1.04945,1.04952,1.04942,1.04941,19,1
1.04945,1.04952,1.04934,1.04934,24,1
1.04945,1.04952,1.04932,1.04935,29,1
1.04945,1.04952,1.04929,1.0493,34,1
1.04945,1.04952,1.04924,1.04927,39,1
1.04945,1.04952,1.0492,1.04921,44,1
1.04945,1.04952,1.04919,1.04925,49,1
